season,playerId,player,team,position,conference,bio_firstName,bio_lastName,bio_height,bio_weight,bio_jersey,bio_position,bio_homeCity,bio_homeState,bio_homeCountry,bio_homeLatitude,bio_homeLongitude,bio_homeCountyFIPS,bio_recruitIds,bio_recruitIds_count,stat_receiving_LONG,stat_receiving_REC,stat_receiving_TD,stat_receiving_YDS,stat_receiving_YPR,stat_interceptions_AVG,stat_interceptions_INT,stat_interceptions_TD,stat_interceptions_YDS,stat_kickReturns_AVG,stat_kickReturns_LONG,stat_kickReturns_NO,stat_kickReturns_TD,stat_kickReturns_YDS,stat_passing_ATT,stat_passing_COMPLETIONS,stat_passing_INT,stat_passing_PCT,stat_passing_TD,stat_passing_YDS,stat_passing_YPA,stat_puntReturns_AVG,stat_puntReturns_LONG,stat_puntReturns_NO,stat_puntReturns_TD,stat_puntReturns_YDS,stat_rushing_CAR,stat_rushing_LONG,stat_rushing_TD,stat_rushing_YDS,stat_rushing_YPC,stat_punting_In_20,stat_punting_LONG,stat_punting_NO,stat_punting_TB,stat_punting_YDS,stat_punting_YPP,stat_kicking_FGA,stat_kicking_FGM,stat_kicking_LONG,stat_kicking_PCT,stat_kicking_PTS,stat_kicking_XPA,stat_kicking_XPM,stat_defensive_PD,stat_defensive_QB_HUR,stat_defensive_SACKS,stat_defensive_SOLO,stat_defensive_TD,stat_defensive_TFL,stat_defensive_TOT,stat_fumbles_FUM,stat_fumbles_LOST,stat_fumbles_REC
2011,-1000612,Joe Pachuta,Akron,OT,MAC,Joe,Pachuta,78.0,290.0,63.0,OT,New Concord,OH,USA,39.9934992,-81.7338559,39119,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,-1000564,Joe Petrides,Akron,OL,MAC,Joe,Petrides,77.0,305.0,72.0,OL,Baltimore,MD,USA,39.2908816,-76.610759,24510,158959,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,-1000593,John Clay,Akron,C,MAC,John,Clay,75.0,320.0,51.0,C,East St. Louis,IL,USA,38.6244952,-90.1509429,17163,154315,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,-1000600,John Griggs,Akron,DE,MAC,John,Griggs,77.0,273.0,90.0,DE,Piscataway,NJ,USA,40.5462553,-74.4660408,34023,187808,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,519696,John Senter,Akron,CB,MAC,John,Senter,67.0,,27.0,CB,Huber Heights,OH,USA,39.85902405,-84.11136295364687,39113,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,514622,Johnny Robinson,Akron,S,Mid-American,Johnny,Robinson,69.0,,4.0,S,Cleveland,OH,USA,41.5051613,-81.6934446,39035,154311,1.0,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,482039,Jon Root,Akron,TE,MAC,Jon,Root,78.0,,86.0,TE,Fairview,PA,USA,40.1775,-76.8606,01043,158958,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,-1000601,Jonathan Hanobik,Akron,LB,MAC,Jonathan,Hanobik,74.0,221.0,42.0,LB,Chardon,OH,USA,41.582466,-81.20334,39055,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,384239,Josh Richmond,Akron,S,Mid-American,Josh,Richmond,71.0,,33.0,S,Passaic,NJ,USA,40.8567663,-74.1284764,34031,,0.0,,,,,,0.0,1.0,0.0,0.0,17.0,17.0,1.0,0.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,147386,Josh Smith,Akron,WR,MAC,Josh,Smith,73.0,,47.0,WR,Cincinnati,OH,USA,39.1014537,-84.5124602,39061,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,-1000596,Justin Favors,Akron,TE,MAC,Justin,Favors,75.0,235.0,48.0,TE,Trotwood,OH,USA,39.7972788,-84.3113334,39113,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,-1000541,Justin March,Akron,LB,MAC,Justin,March,72.0,230.0,5.0,LB,Danville,IL,USA,40.125222,-87.6304614,17183,154621,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,514612,Justin March-Lillard,Akron,,MAC,Justin,March-Lillard,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,514595,Karl Bostick,Akron,RB,Mid-American,Karl,Bostick,69.0,,20.0,RB,Englewood,NJ,USA,40.8928771,-73.9726381,34003,154291,1.0,6.0,4.0,0.0,10.0,2.5,,,,,,,,,,,,,,,,,,,,,,27.0,17.0,1.0,82.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
2011,508708,Keith Sconiers,Akron,WR,Mid-American,Keith,Sconiers,72.0,,8.0,WR,Calumet Park,IL,USA,41.6639076,-87.6575786,17031,155740,1.0,51.0,47.0,5.0,639.0,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,-1000605,Kevin Ivasku,Akron,P,MAC,Kevin,Ivasku,72.0,197.0,36.0,P,Copley,OH,USA,41.0989439,-81.6445685,39153,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,514617,Kyle Pohl,Akron,QB,MAC,Kyle,Pohl,75.0,,16.0,QB,Farmersville,OH,USA,39.6795,-84.4291132,39113,154324,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,-1000552,L.J. Chambers,Akron,WR,MAC,L.J.,Chambers,71.0,197.0,85.0,WR,Bedford,OH,USA,41.39311,-81.536509,39035,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,514627,L.T. Smith,Akron,WR,MAC,L.T.,Smith,72.0,,3.0,WR,Painesville,OH,USA,41.7244885,-81.245657,39085,156881,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,384251,Manley Waller,Akron,CB,MAC,Manley,Waller,68.0,,6.0,CB,Decatur,GA,USA,33.7737582,-84.296069,13089,161129,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,-1000623,Marlon Worthington,Akron,S,MAC,Marlon,Worthington,69.0,186.0,35.0,S,Cleveland,OH,USA,41.5051613,-81.6934446,39035,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,514629,Marquelo Suel,Akron,WR,Mid-American,Marquelo,Suel,75.0,,15.0,WR,Fort Wayne,IN,USA,41.0799898,-85.1386015,18003,187992,1.0,64.0,34.0,4.0,417.0,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
